Time (s),Pump 1 (uL/min),Pump 2 (uL/min)
48.16666474,332.7000899,467.2999101
48.24999807,332.8134433,467.1865567
48.3333314,332.9276165,467.0723835
48.41666473,333.0426078,466.9573922
48.49999806,333.1584158,466.8415842
48.58333139,333.2750392,466.7249608
48.66666472,333.3924765,466.6075235
48.74999805,333.5107266,466.4892734
48.83333138,333.6297875,466.3702125
48.91666471,333.749658,466.250342
48.99999804,333.8703366,466.1296634
49.08333137,333.9918221,466.0081779
49.1666647,334.1141123,465.8858877
49.24999803,334.2372065,465.7627935
49.33333136,334.3611032,465.6388968
49.41666469,334.4858004,465.5141996
49.49999802,334.6112964,465.3887036
49.58333135,334.7375907,465.2624093
49.66666468,334.8646807,465.1353193
49.74999801,334.992565,465.007435
49.83333134,335.1212427,464.8787573
49.91666467,335.2507116,464.7492884
49.999998,335.3809702,464.6190298
50.08333133,335.5120174,464.4879826
50.16666466,335.6438513,464.3561487
50.24999799,335.77647,464.22353
50.33333132,335.9098723,464.0901277
50.41666465,336.0440559,463.9559441
50.49999798,336.17902,463.82098
50.58333131,336.3147626,463.6852374
50.66666464,336.4512821,463.5487179
50.74999797,336.5885771,463.4114229
50.8333313,336.7266453,463.2733547
50.91666463,336.865485,463.134515
50.99999796,337.0050952,462.9949048
51.08333129,337.1454738,462.8545262
51.16666462,337.2866193,462.7133807
51.24999795,337.4285296,462.5714704
51.33333128,337.5712033,462.4287967
51.41666461,337.7146381,462.2853619
51.49999794,337.8588332,462.1411668
51.58333127,338.0037862,461.9962138
51.6666646,338.1494951,461.8505049
51.74999793,338.2959588,461.7040412
51.83333126,338.4431752,461.5568248
51.91666459,338.5911425,461.4088575
51.99999792,338.7398588,461.2601412
52.08333125,338.8893223,461.1106777
52.16666458,339.0395313,460.9604687
52.24999791,339.190484,460.809516
52.33333124,339.3421786,460.6578214
52.41666457,339.4946129,460.5053871
52.4999979,339.6477854,460.3522146
52.58333123,339.801694,460.198306
52.66666456,339.9563369,460.0436631
52.74999789,340.1117123,459.8882877
52.83333122,340.2678183,459.7321817
52.91666455,340.4246528,459.5753472
52.99999788,340.582214,459.417786
53.08333121,340.7405,459.2595
53.16666454,340.8995091,459.1004909
53.24999787,341.059239,458.940761
53.3333312,341.2196879,458.7803121
53.41666453,341.3808537,458.6191463
53.49999786,341.5427345,458.4572655
53.58333119,341.7053284,458.2946716
53.66666452,341.8686339,458.1313661
53.74999785,342.032648,457.967352
53.83333118,342.1973695,457.8026305
53.91666451,342.3627958,457.6372042
53.99999784,342.5289254,457.4710746
54.08333117,342.6957561,457.3042439
54.1666645,342.8632857,457.1367143
54.24999783,343.0315119,456.9684881
54.33333116,343.2004335,456.7995665
54.41666449,343.3700481,456.6299519
54.49999782,343.540353,456.459647
54.58333115,343.711347,456.288653
54.66666448,343.8830273,456.1169727
54.74999781,344.0553926,455.9446074
54.83333114,344.2284403,455.7715597
54.91666447,344.4021679,455.5978321
54.9999978,344.5765739,455.4234261
55.08333113,344.7516559,455.2483441
55.16666446,344.9274121,455.0725879
55.24999779,345.1038399,454.8961601
55.33333112,345.2809374,454.7190626
55.41666445,345.458702,454.541298
55.49999778,345.6371324,454.3628676
55.58333111,345.8162257,454.1837743
55.66666444,345.9959804,454.0040196
55.74999777,346.1763931,453.8236069
55.8333311,346.357463,453.642537
55.91666443,346.5391871,453.4608129
55.99999776,346.7215629,453.2784371
56.08333109,346.9045893,453.0954107
56.16666442,347.088263,452.911737
56.24999775,347.2725823,452.7274177
56.33333108,347.4575445,452.5424555
56.41666441,347.6431478,452.3568522
56.49999774,347.8293899,452.1706101
56.58333107,348.0162682,451.9837318
56.6666644,348.2037808,451.7962192
56.74999773,348.3919251,451.6080749
56.83333106,348.5806989,451.4193011
56.91666439,348.7701003,451.2298997
56.99999772,348.9601262,451.0398738
57.08333105,349.1507748,450.8492252
57.16666438,349.3420435,450.6579565
57.24999771,349.5339304,450.4660696
57.33333104,349.7264329,450.2735671
57.41666437,349.9195487,450.0804513
57.4999977,350.1132755,449.8867245
57.58333103,350.3076103,449.6923897
57.66666436,350.5025517,449.4974483
57.74999769,350.698097,449.301903
57.83333102,350.8942435,449.1057565
57.91666435,351.0909889,448.9090111
57.99999768,351.2883311,448.7116689
58.08333101,351.4862674,448.5137326
58.16666434,351.6847955,448.3152045
58.24999767,351.8839131,448.1160869
58.333331,352.0836176,447.9163824
58.41666433,352.2839063,447.7160937
58.49999766,352.4847774,447.5152226
58.58333099,352.6862282,447.3137718
58.66666432,352.8882561,447.1117439
58.74999765,353.0908582,446.9091418
58.83333098,353.294033,446.705967
58.91666431,353.4977775,446.5022225
58.99999764,353.7020893,446.2979107
59.08333097,353.9069655,446.0930345
59.1666643,354.1124044,445.8875956
59.24999763,354.3184029,445.6815971
